date,home,away,home_score,away_score,division
2026-09-05,Mass. Maritime,Maine Maritime,49,0,D3
2026-09-05,Bridgewater St.,Curry,63,35,D3
2026-09-05,Dean,Fitchburg St.,26,35,D3
2026-09-05,Johns Hopkins,Ithaca,30,21,D3
2026-09-05,Plymouth St.,New England Col.,28,14,D3
2026-09-05,Grinnell,Mt. Mercy,16,13,D3
2026-09-05,Wis.-Eau Claire,Alma,23,15,D3
2026-09-05,Wash. & Lee,Wittenberg,13,7,D3
2026-09-05,Kean,SUNY Morrisville,30,33,D3
2026-09-05,TCNJ,Lycoming,7,17,D3
2026-09-05,Neb. Wesleyan,Concordia-M'head,0,28,D3
2026-09-05,Waynesburg,Capital,12,35,D3
2026-09-05,Manchester,Westminster (MO),17,10,D3
2026-09-05,Denison,Hope,14,28,D3
2026-09-05,Husson,Framingham St.,21,33,D3
2026-09-05,SUNY Maritime,Worcester St.,42,41,D3
2026-09-05,Hardin-Simmons,Chapman,44,24,D3
2026-09-05,Kalamazoo,Kenyon,10,40,D3
2026-09-05,Wm. Paterson,WestConn,17,27,D3
2026-09-05,Crown (MN),Hamline,21,31,D3
2026-09-05,Wheaton (IL),Mount Union,24,23,D3
2026-09-05,Union (NY),Susquehanna,17,23,D3
2026-09-05,Saint Vincent,Hilbert,60,6,D3
2026-09-05,VTSU Castleton,Westfield St.,29,7,D3
2026-09-05,Adrian,Ohio Northern,17,10,D3
2026-09-05,Anderson (IN),Allegheny,12,28,D3
2026-09-05,Ripon,Concordia Wisconsin,14,38,D3
2026-09-05,St. John Fisher,FDU-Florham,38,8,D3
2026-09-05,Sewanee,Bethany (WV),37,40,D3
2026-09-05,St. Norbert,Carroll (WI),10,40,D3
2026-09-05,Oberlin,Hiram,2,33,D3
2026-09-05,Wis.-Oshkosh,Linfield,15,41,D3
2026-09-05,Luther,Lawrence,30,7,D3
2026-09-05,Saint John's (MN),Wis.-La Crosse,24,21,D3
2026-09-05,Carnegie Mellon,John Carroll,7,17,D3
2026-09-05,Pomona-Pitzer,Willamette,42,23,D3
